unix_s,pod,ws_connections,gateway_rss_bytes,gateway_cpu_seconds,gateway_open_fds,gateway_max_fds,gateway_heap_inuse_bytes,gateway_goroutines,gateway_closed_total,loadgen_memory_bytes,loadgen_cpu_usec
1786845461,gateway-67f694d755-5ktns,0,2.1250048e+07,0.04,48,1.048576e+06,6.545408e+06,31,0,26181632,36750442
1786845461,gateway-67f694d755-ccs46,0,1.9812352e+07,0.03,48,1.048576e+06,5.513216e+06,31,0,26181632,36750442
1786845461,gateway-67f694d755-t5d9l,0,1.9873792e+07,0.04,48,1.048576e+06,5.726208e+06,32,0,26181632,36750442
1786845463,gateway-67f694d755-5ktns,5459,2.49315328e+08,2.07,5599,1.048576e+06,1.35798784e+08,15948,0,522760192,40381305
1786845463,gateway-67f694d755-ccs46,5608,2.58101248e+08,2.09,5751,1.048576e+06,1.39354112e+08,16677,0,522760192,40381305
1786845463,gateway-67f694d755-t5d9l,5745,2.59211264e+08,2.14,5889,1.048576e+06,1.3852672e+08,16947,0,522760192,40381305
1786845465,gateway-67f694d755-5ktns,14532,6.28113408e+08,5.45,14677,1.048576e+06,3.34331904e+08,43392,0,669708288,44611195
1786845465,gateway-67f694d755-ccs46,14674,6.28772864e+08,5.43,14817,1.048576e+06,3.36330752e+08,43384,0,669708288,44611195
1786845465,gateway-67f694d755-t5d9l,14828,6.47970816e+08,5.5,14971,1.048576e+06,3.47430912e+08,44390,0,669708288,44611195
1786845467,gateway-67f694d755-5ktns,23588,1.009119232e+09,8.96,23736,1.048576e+06,5.40442624e+08,69898,0,868454400,48788528
1786845467,gateway-67f694d755-ccs46,23736,1.033080832e+09,8.73,23879,1.048576e+06,5.56711936e+08,71221,0,868454400,48788528
1786845467,gateway-67f694d755-t5d9l,23868,1.02084608e+09,9,24012,1.048576e+06,5.41335552e+08,71539,0,868454400,48788528
1786845469,gateway-67f694d755-5ktns,29264,1.247408128e+09,11.12,29525,1.048576e+06,6.64305664e+08,87842,0,917368832,56982074
1786845469,gateway-67f694d755-ccs46,29292,1.253851136e+09,11.16,29564,1.048576e+06,6.68483584e+08,87940,0,917368832,56982074
1786845469,gateway-67f694d755-t5d9l,29366,1.262333952e+09,11.03,29618,1.048576e+06,6.76036608e+08,88153,0,917368832,56982074
1786845471,gateway-67f694d755-5ktns,30000,1.281212416e+09,11.41,30143,1.048576e+06,6.81058304e+08,90032,0,926449664,60571501
1786845471,gateway-67f694d755-ccs46,30000,1.282686976e+09,11.45,30143,1.048576e+06,6.8149248e+08,90031,0,926449664,60571501
1786845471,gateway-67f694d755-t5d9l,30000,1.29169408e+09,11.29,30143,1.048576e+06,6.91060736e+08,90032,0,926449664,60571501
