id,slug,name,unlock_level,seed_price,seasons,cycle_minutes,yield,fruit_price,harvest_exp,hidden,drop_level,body,color,fruit,leaf
1,bailuobo,白萝卜,0,125,1,600,16,17,15,0,0,root,#f5f0e1,0xf5f0e1,0x5aa54a
2,huluobo,胡萝卜,0,163,1,780,17,21,18,0,0,root,#ff8c42,0xff8c42,0x4e9b47
3,dabaicai,大白菜,1,168,1,840,17,22,19,0,0,cabbage,#a8d5a2,0xcdeac0,0x6fbf63
15,xiaomai,小麦,2,168,1,840,18,21,19,0,0,cereal,#e8c96a,0xe8c96a,0x9db85c
5,shuidao,水稻,2,168,1,840,18,21,19,0,0,cereal,#d9c25e,0xd9c25e,0x7fb069
6,yumi,玉米,3,175,1,840,17,23,19,0,0,corn,#ffd54a,0xffd54a,0x5da352
7,tudou,土豆,4,188,1,900,18,24,20,0,0,bush,#d9b382,0xd9b382,0x5aa54a
8,hongzao,红枣,5,237,1,960,20,25,21,0,0,tree,#c0392b,0xc0392b,0x4e8f43
9,qiezi,茄子,5,237,1,960,20,25,21,0,0,bush,#8e44ad,0x8e44ad,0x5aa54a
10,fanqie,番茄,6,251,1,1020,21,26,22,0,0,bush,#e74c3c,0xe74c3c,0x55a04a
11,wandou,豌豆,7,266,1,1080,22,27,23,0,0,bush,#7dc95e,0x7dc95e,0x4e9b47
12,hongmeigui,红玫瑰,7,266,1,1080,22,27,23,0,0,rose,#e5386d,0xe5386d,0x4a8f43
13,lajiao,辣椒,8,296,1,1200,24,28,25,0,0,bush,#d7263d,0xd7263d,0x55a04a
14,nangua,南瓜,9,325,1,1320,25,30,27,0,0,ground,#ff9f1c,0xff9f1c,0x5aa54a
4,pingguo,苹果,10,578,2,1800,23,24,18,0,0,tree,#e63946,0xe63946,0x4e8f43
16,caomei,草莓,10,605,2,2100,24,27,20,0,0,low,#ff4d6d,0xff4d6d,0x5aa54a
17,xigua,西瓜,11,708,2,2460,27,29,23,0,0,ground,#2e933c,0x3d9970,0x5aa54a
18,xiangjiao,香蕉,12,900,2,2700,29,32,25,0,0,palm,#ffe066,0xffe066,0x6fbf63
19,taozi,桃子,13,1200,2,3600,32,40,33,0,0,tree,#ffb3c1,0xffa8b8,0x4e8f43
20,chengzi,橙子,14,1587,3,3540,26,41,25,0,0,tree,#ff9f1c,0xff9f1c,0x4e8f43
21,putao,葡萄,15,1978,3,5160,29,47,30,0,0,vine,#9b5de5,0x9b5de5,0x55a04a
22,shiliu,石榴,16,2425,3,5760,30,54,34,0,0,tree,#d90429,0xd90429,0x4e8f43
23,youzi,柚子,17,2855,3,6780,33,58,39,0,0,tree,#f4d35e,0xf4d35e,0x4e8f43
24,boluo,菠萝,18,3480,3,6960,35,62,40,0,0,pineapple,#f6bd60,0xf6bd60,0x6fbf63
25,yezi,椰子,19,3720,4,7440,27,65,32,0,0,palm,#a0785a,0x8d6e63,0x5da352
26,hulu,葫芦,20,4742,4,8340,30,71,36,0,0,vine,#a7c957,0xa7c957,0x55a04a
27,renshen,人参,0,0,1,2400,22,41,60,1,0,root,#e8d8b9,0xe8d8b9,0x6a994e
28,lingzhi,灵芝,10,0,1,3600,30,60,80,1,10,fungus,#9c6644,0x9c6644,0x7f5539
29,yaoqianshu,摇钱树,20,0,3,6000,25,55,100,1,20,money,#ffd700,0xffd700,0xd4af37
