unix_s,ws_connections,gateway_rss_bytes,gateway_cpu_seconds,gateway_open_fds,gateway_heap_inuse_bytes,gateway_closed_total,loadgen_memory_bytes,loadgen_cpu_usec
1786790542,0,8.03586048e+08,24.16,143,4.143104e+08,0,21565440,155406
1786790544,7858,7.96737536e+08,25.91,8000,2.23166464e+08,0,277426176,4619882
1786790546,15875,7.28260608e+08,27.92,16018,3.71908608e+08,0,387637248,12621192
1786790548,18000,8.1555456e+08,28.9,18143,4.07576576e+08,0,434511872,18140694
1786790550,18000,8.1555456e+08,28.91,18143,4.07609344e+08,0,433807360,18195267
1786790552,18000,8.1555456e+08,28.91,18143,4.07863296e+08,0,434335744,18243792
1786790554,18000,8.16078848e+08,28.94,18143,4.0902656e+08,0,434642944,18273080
1786790557,18000,8.16078848e+08,28.95,18143,4.09280512e+08,0,434450432,18302443
1786790559,18000,8.16078848e+08,29.02,18143,4.09878528e+08,0,497795072,18578309
1786790561,18000,8.16078848e+08,29.11,18143,4.1099264e+08,0,511262720,18781758
1786790563,18000,8.16078848e+08,29.2,18143,4.12123136e+08,0,519540736,19002775
1786790565,18000,8.16603136e+08,29.28,18143,4.13540352e+08,0,528252928,19182290
1786790567,18000,8.18176e+08,29.38,18143,4.15219712e+08,0,533078016,19779210
1786790569,18000,8.21846016e+08,29.89,18143,4.09051136e+08,0,531591168,19938177
1786790571,18000,8.21846016e+08,30.05,18143,4.10083328e+08,0,531767296,20108754
1786790573,18000,8.21846016e+08,30.24,18143,4.1119744e+08,0,534822912,20292557
1786790575,18000,8.21846016e+08,30.52,18143,4.14236672e+08,0,572354560,20605916
1786790577,18000,8.20736e+08,31.17,18143,4.10157056e+08,0,603222016,20894351
1786790579,18000,8.20736e+08,31.3,18143,4.11344896e+08,0,608141312,21106898
1786790581,18000,8.20736e+08,31.42,18143,4.1230336e+08,0,607621120,21297968
1786790583,18000,8.20736e+08,31.55,18143,4.13704192e+08,0,608567296,21489486
1786790585,18000,8.20736e+08,31.79,18143,4.15440896e+08,0,607854592,21686247
1786790587,18000,8.20969472e+08,32.38,18143,4.09165824e+08,0,608677888,21889622
1786790589,18000,8.20969472e+08,32.61,18143,4.1009152e+08,0,605114368,22087332
1786790591,18000,8.20969472e+08,32.88,18143,4.11099136e+08,0,599425024,22288474
1786790593,18000,8.20969472e+08,33.14,18143,4.1254912e+08,0,595681280,22508402
1786790595,18000,8.20969472e+08,33.4,18143,4.14089216e+08,0,589844480,22723724
1786790597,18000,8.20150272e+08,34.03,18143,4.07846912e+08,0,588742656,22923782
1786790599,18000,8.20150272e+08,34.33,18143,4.09829376e+08,0,588632064,23137166
1786790601,18000,8.20150272e+08,34.61,18143,4.10902528e+08,0,586436608,23369698
1786790603,18000,8.20150272e+08,34.96,18143,4.12778496e+08,0,596148224,23654124
1786790605,18000,8.20916224e+08,35.76,18143,4.10320896e+08,0,631554048,23990636
1786790607,18000,8.20916224e+08,36.22,18143,4.1340928e+08,0,655441920,24305334
1786790609,18000,8.20916224e+08,36.48,18143,4.15162368e+08,0,656326656,24548766
1786790611,18000,8.2112512e+08,37.1,18143,4.07478272e+08,0,654888960,24763939
1786790613,18000,8.2112512e+08,37.35,18143,4.09444352e+08,0,653299712,24973328
1786790615,18000,8.2112512e+08,37.68,18143,4.10517504e+08,0,653328384,25188934
1786790617,18000,8.2112512e+08,37.98,18143,4.11746304e+08,0,653029376,25420345
1786790619,18000,8.2112512e+08,38.25,18143,4.13458432e+08,0,650919936,25645665
1786790621,18000,8.2112512e+08,38.54,18143,4.15383552e+08,0,650924032,25891661
1786790623,18000,8.21338112e+08,39.16,18143,4.08838144e+08,0,650702848,26085976
1786790625,18000,8.21338112e+08,39.43,18143,4.0984576e+08,0,648982528,26326209
1786790627,18000,8.21338112e+08,39.7,18143,4.1091072e+08,0,648245248,26541941
1786790629,18000,8.21338112e+08,39.97,18143,4.12377088e+08,0,647352320,26755716
1786790631,18000,8.21338112e+08,40.23,18143,4.13958144e+08,0,646156288,26956411
1786790634,18000,8.2317312e+08,40.75,18143,4.17112064e+08,0,665006080,27224313
1786790636,18000,8.22337536e+08,41.33,18143,4.11779072e+08,0,700628992,27545115
1786790638,18000,8.22337536e+08,41.67,18143,4.14752768e+08,0,718700544,27829050
1786790640,18000,8.21198848e+08,42.24,18143,4.07527424e+08,0,717496320,28025317
1786790642,18000,8.21198848e+08,42.43,18143,4.08633344e+08,0,714854400,28264515
1786790644,18000,8.21198848e+08,42.69,18143,4.10640384e+08,0,716558336,28470900
1786790646,18000,8.21198848e+08,42.97,18143,4.11926528e+08,0,714813440,28677365
1786790648,17777,8.21198848e+08,43.27,17920,4.13507584e+08,0,713097216,28903936
1786790650,16561,8.21198848e+08,43.65,16704,4.15236096e+08,0,702926848,29203998
1786790652,15347,8.21198848e+08,44.04,15490,4.17792e+08,0,693460992,29482882
1786790654,14132,8.21198848e+08,44.41,14275,4.20601856e+08,0,683732992,29740866
1786790656,12917,8.21198848e+08,44.79,13060,4.2360832e+08,0,673345536,30015668
1786790658,11702,8.21198848e+08,45.14,11845,4.26942464e+08,0,663105536,30296504
1786790660,10487,8.21198848e+08,45.47,10630,4.30415872e+08,0,653635584,30577757
1786790662,9273,8.21198848e+08,45.8,9416,4.33922048e+08,0,642818048,30862858
1786790664,8057,8.21198848e+08,46.11,8200,4.3720704e+08,0,633192448,31146766
1786790666,6843,8.21198848e+08,46.55,6986,4.4208128e+08,0,637399040,31445048
1786790668,5628,8.21198848e+08,46.99,5771,4.4691456e+08,0,643846144,31736315
1786790670,4413,8.21198848e+08,47.3,4556,4.5043712e+08,0,632582144,32009112
1786790672,3198,8.21198848e+08,47.64,3341,4.53984256e+08,0,622465024,32293493
1786790674,1983,8.21198848e+08,47.96,2126,4.57785344e+08,0,613076992,32574469
1786790676,769,8.21198848e+08,48.28,912,4.61504512e+08,0,504680448,32948269
